family,student,config,before_n_seeds,before_acc_mean,before_acc_std,before_macro_f1_mean,before_macro_f1_std,before_blackhole_f1,before_flooding_f1,before_grayhole_f1,before_normal_f1,before_tdma_f1,before_params,before_size_kb,after_full10_n_seeds,after_full10_acc_mean,after_full10_acc_std,after_full10_macro_f1_mean,after_full10_macro_f1_std,after_full10_blackhole_f1,after_full10_flooding_f1,after_full10_grayhole_f1,after_full10_normal_f1,after_full10_tdma_f1,delta_macro_f1_full10_minus_before,delta_acc_full10_minus_before,incomplete_n2_n_seeds,incomplete_n2_macro_f1_mean,incomplete_n2_note,in_archived_only,in_trainonly_only,protocol_before,protocol_after
wsn_multiseed_predictive,A,F_KD_from_CL_MLP_ext,10,0.9836067615658364,0.0066590564849375,0.906371805793266,0.02510893853073,0.8399431576988972,0.9444547886753116,0.8537650218982433,0.9961187789125512,0.8975772817813278,1189.0,4.64453125,10.0,0.9811743772241992,0.0127046678694523,0.8936578199261115,0.0554210593453872,0.8213237880330633,0.9440185178570648,0.8300457396885402,0.9960617449956214,0.8768393090562675,-0.012713985867154554,-0.0024323843416371727,2.0,0.9111646336802088,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,F_KD_from_CL_MLP_fair,10,0.9855088967971528,0.0003335717624327,0.9129124186422604,0.0021260766535441,0.8392742568061401,0.9418330122547476,0.8532352690488578,0.9971513002837108,0.9330682548178456,1189.0,4.64453125,10.0,0.9850658362989324,0.0004147642346395,0.9104895552870976,0.00310359067994,0.8331599789560169,0.944617047531734,0.8469502253826784,0.9971434133449476,0.9305771112201112,-0.00242286335516273,-0.0004430604982204045,2.0,0.9094917663110408,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,G_KD_random_pacing,10,0.985679715302491,0.0004629618325394,0.9136964790181622,0.0028063300912514,0.8411015414579879,0.9425328875625818,0.8570768640519821,0.997155221249244,0.9306158807690156,1189.0,4.64453125,10.0,0.9851814946619216,0.0006038647134979,0.910808556743555,0.0037540644559261,0.8315815659796921,0.9457949066143632,0.8493702824338261,0.9972015135250348,0.9300945151648582,-0.002887922274607213,-0.000498220640569369,2.0,0.913292082308778,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,I_KD_from_SMOTE_MLP,10,0.9855996441281138,0.0003220640569394,0.913602935164316,0.0019180099051805,0.8393421141982709,0.9488348049750192,0.8538756771339328,0.9972222019560112,0.9287398775583464,1189.0,4.64453125,10.0,0.9847081850533808,0.0008056479803346,0.9084987350325012,0.0049628134318509,0.8248233804264304,0.951274517458289,0.8467296369286498,0.9970961715043876,0.9225699688447498,-0.0051042001318147845,-0.0008914590747330919,2.0,0.9106748480189624,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,J_CoDistill_RF_CL,10,0.986514234875445,0.0006971570214189,0.9180619400289686,0.0040995322547912,0.8369788951165326,0.9526581286924553,0.8559951828115857,0.9977762015730388,0.9469012919512309,1189.0,4.64453125,,,,,,,,,,,,,,,,True,False,archived_pre_split_scaler_10seed,
wsn_multiseed_predictive,B,A_RF_500,10,0.996599644128114,5.123195746935403e-05,0.9788888430705942,0.0002514417158354,0.9903957236265056,0.9633025708283366,0.98333289531138,0.998394885464682,0.9590181401220668,,85064.5361328125,10.0,0.9965907473309608,5.943048659491634e-05,0.9788502941560824,0.0002670496364152,0.9903957236265056,0.9632084466225692,0.9832391666967846,0.9983899937124864,0.9590181401220668,-3.854891451182674e-05,-8.896797153212788e-06,2.0,0.9787577841055746,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,B,B_Full_MLP,10,0.9873220640569396,0.0003988504714301,0.9231949934342208,0.0023753226388243,0.8686063627222268,0.9385401593405108,0.876712653987872,0.9972290328398546,0.9348867582806392,69893.0,273.01953125,10.0,0.9872633451957296,0.000316061075401,0.9226887762531352,0.0020062386205199,0.8672306992018963,0.9383622154558102,0.8772657449747779,0.9972152442290452,0.9333699774041456,-0.0005062171810856775,-5.871886121000536e-05,2.0,0.9214800806926664,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,B,C2_CL_MLP_domain,10,0.9857313167259788,0.0004806543550829,0.9138075716951344,0.0031582214534915,0.8434452108985735,0.9381933485212351,0.8566409038089049,0.99715027827313,0.9336081169738282,69893.0,273.01953125,10.0,0.9856548042704628,0.0007470861411493,0.9131371118601588,0.0045405767015448,0.8425479405398836,0.936425131478382,0.8557025731807391,0.9971443729220324,0.9338655411797572,-0.0006704598349756008,-7.651245551598684e-05,2.0,0.911090216478642,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,B,C_CL_MLP_loss,10,0.9858861209964414,0.0006486149542669,0.9147295397337878,0.0039033725301293,0.848594642951632,0.9373032805386472,0.8557640458693282,0.9971758813919612,0.9348098479173697,69893.0,273.01953125,10.0,0.9857259786476869,0.0006639657720638,0.9135861700874944,0.0038551845773975,0.8445725592575479,0.9366087541879942,0.8558451708410644,0.9971551998336606,0.9337491663172052,-0.0011433696462933574,-0.0001601423487544995,2.0,0.9118642964555828,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,B,C_CL_MLP_loss_ext,10,0.9786672597864768,0.0237895490864476,0.8672566232448489,0.1548196369474477,0.7735441223368222,0.9193659665323206,0.7793706599142542,0.9960293978633354,0.8679729695775121,69893.0,273.01953125,10.0,0.9785907473309609,0.0252353803987912,0.8674204900984448,0.1616812906197555,0.7702994816450504,0.922391975220462,0.7795825971424906,0.9960697254158462,0.8687586710683748,0.00016386685359592867,-7.651245551598684e-05,2.0,0.9204200327445308,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
