accuracy,macro_precision,macro_recall,macro_f1,per_class_f1,params,model_size_kb,train_time_sec,route,student,seed,protocol,pipeline_macro_f1,delta_vs_pipeline,rf_calibration_time_sec
0.987135231316726,0.9157417286809416,0.9294061560953871,0.9212164061635605,"[0.83875, 0.9539347408829175, 0.8603219696969697, 0.9979901369648126, 0.9550851832731028]",1189,4.64453125,132.86950209999486,E_KD_from_RF,A,2024,per_route_set_seed,0.9154417760499027,0.005774630113657753,58.039337400005024
0.9904448398576512,0.9247977431649362,0.9616008201065729,0.9418534249364748,"[0.924724409448819, 0.9342105263157895, 0.9244712990936556, 0.9970745307468782, 0.9287863590772317]",3397,13.26953125,98.95964780000213,D_Small_MLP,B,2024,per_route_set_seed,0.927724968211243,0.014128456725231886,
0.9944128113879004,0.9597019353081295,0.9711109637286167,0.9647219856445133,"[0.9598965071151359, 0.9529298751200769, 0.9590182912711276, 0.9981570072935456, 0.9536082474226805]",3397,13.26953125,133.3357554999966,E_KD_from_RF,B,2024,per_route_set_seed,0.9479306391953889,0.01679134644912439,58.039337400005024
0.9866370106761566,0.9029563915851577,0.9427647484471692,0.9209501418309347,"[0.8699661850599447, 0.9333333333333333, 0.8725651255573809, 0.9967593683714353, 0.9321266968325792]",1189,4.64453125,96.74864690000686,D_Small_MLP,A,3141,per_route_set_seed,0.915740715319615,0.005209426511319726,
0.9845017793594306,0.9012423536390308,0.9165330751297003,0.9053659958844571,"[0.8011834319526627, 0.9539347408829175, 0.8196397730076487, 0.9980193748284112, 0.9540526587506454]",1189,4.64453125,134.3224149000016,E_KD_from_RF,A,3141,per_route_set_seed,0.9139138788778659,-0.008547882993408806,57.64513740000257
0.9884697508896797,0.9145106728341302,0.9494110044992574,0.9296937291630532,"[0.8878048780487805, 0.9377358490566038, 0.8926014319809069, 0.9972615647360207, 0.9330649219929542]",3397,13.26953125,99.860983700004,D_Small_MLP,B,3141,per_route_set_seed,0.9279084114731729,0.001785317689880217,
0.9888078291814947,0.9261664598058845,0.9352890107541038,0.9300770252711841,"[0.8566764609859615, 0.9539347408829175, 0.8861863240018357, 0.9981471859774329, 0.9554404145077721]",3397,13.26953125,133.82766309999715,E_KD_from_RF,B,3141,per_route_set_seed,0.9316570381459499,-0.0015800128747658349,57.64513740000257
0.9851957295373666,0.8959495281369902,0.9331858743103327,0.9126012286369967,"[0.8436452301127705, 0.9421800947867298, 0.8515366430260047, 0.9968578161822467, 0.9287863590772317]",1189,4.64453125,93.06659780000336,D_Small_MLP,A,5678,per_route_set_seed,0.9153505564345398,-0.0027493277975431107,
0.9866903914590748,0.9124479833929803,0.928537851120284,0.9190817511200544,"[0.8360808709175739, 0.9539347408829175, 0.8565350980855589, 0.9978523726868878, 0.9510056730273336]",1189,4.64453125,132.7904494999966,E_KD_from_RF,A,5678,per_route_set_seed,0.9193036779243725,-0.00022192680431809553,57.672703200005344
0.9881672597864769,0.9138688762084705,0.9439283229308091,0.9279178212690905,"[0.8750792644261256, 0.9439696106362773, 0.8901251738525731, 0.997350135437522, 0.9330649219929542]",3397,13.26953125,96.59815560000425,D_Small_MLP,B,5678,per_route_set_seed,0.9361287957605313,-0.008210974491440814,
0.9885231316725979,0.9239333478479974,0.9377501148250811,0.9288803156673546,"[0.8607439286812173, 0.9539347408829175, 0.8775804128660586, 0.9981373279479236, 0.9540051679586563]",3397,13.26953125,133.3025540000017,E_KD_from_RF,B,5678,per_route_set_seed,0.9374297092797471,-0.008549393612392486,57.672703200005344
0.9853914590747331,0.8963300395707504,0.9286971324991182,0.9106528554083695,"[0.8312807881773399, 0.9368520263901979, 0.851457000710732, 0.9973108253999411, 0.9363636363636364]",1189,4.64453125,102.70037709999451,D_Small_MLP,A,8192,per_route_set_seed,0.9018129608027963,0.008839894605573217,
0.9858718861209964,0.9084362787785922,0.9228382326621162,0.913912370820005,"[0.8197226502311248, 0.9548511047070125, 0.8424821002386634, 0.9979605443777699, 0.9545454545454546]",1189,4.64453125,134.43965970000136,E_KD_from_RF,A,8192,per_route_set_seed,0.9293214421170589,-0.015409071297053933,65.44502750000538
