seed,student,route,weighting,class_index,class_name,support_rows,exact_group_count,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate
42,student_A,scratch,row_weighted,0,Blackhole,1590,1015,0.2757468014120738,0.07268512676200294,0.5203128888343379,0.9471698113207547,0.589622641509434,0.3083155354820311,0.04654088050314465,0.006289308176100629
42,student_A,scratch,row_weighted,1,Flooding,495,474,0.14489885046770415,0.025650876484686124,0.27737024467850624,0.9959595959595959,0.98989898989899,0.08439412403368184,0.00202020202020202,0.00202020202020202
42,student_A,scratch,row_weighted,2,Grayhole,2149,1890,0.28701895289353063,0.08434673004565851,0.5578861239890952,0.8385295486272685,0.7810609585853886,0.24324469510513014,0.14751046998604,0.013494648673801768
42,student_A,scratch,row_weighted,3,Normal,51070,49807,0.1702623814509829,0.037827782591281396,0.3674774677397572,0.989543763461915,0.9012042294889367,0.11418612973209659,0.01020168396318778,0.0002545525748971999
42,student_A,scratch,row_weighted,4,TDMA,997,988,1.5975518684843306,0.04570847326510714,0.27937842079932257,0.9989969909729187,0.8164493480441324,0.014549792169312552,0.0,0.0010030090270812437
42,student_B,rf_kd,exact_group_balanced,0,Blackhole,1590,1015,0.13264046929541023,0.03713881734433611,0.3202541206537023,0.8945812807881773,0.7738916256157635,0.19176645619264465,0.09458128078817735,0.01083743842364532
42,student_B,rf_kd,exact_group_balanced,1,Flooding,495,474,0.040094947902744926,0.009793539305179899,0.17815695629192702,0.9978902953586498,0.9926160337552743,0.07764725909839998,0.0,0.002109704641350211
42,student_B,rf_kd,exact_group_balanced,2,Grayhole,2149,1890,0.17291622870988654,0.05116478411006435,0.3179429448804549,0.8444444444444444,0.8365079365079365,0.16747280222058988,0.14444444444444443,0.011111111111111112
42,student_B,rf_kd,exact_group_balanced,3,Normal,51070,49807,0.004723953797664996,0.0011397793868482289,0.037960117185280515,0.9980725600819162,0.9848615656433835,0.003551856454463996,0.0016061999317365028,0.00030116248720059427
42,student_B,rf_kd,exact_group_balanced,4,TDMA,997,988,0.009065896270130944,0.002156699276164134,0.05000237492764741,0.9979757085020243,0.9731781376518218,0.004388428058412628,0.0,0.0020242914979757085
42,student_B,rf_kd,row_weighted,0,Blackhole,1590,1015,0.194596940835972,0.05568103686204951,0.434932424941623,0.8867924528301887,0.6946540880503145,0.2540353378862532,0.10628930817610063,0.006918238993710692
42,student_B,rf_kd,row_weighted,1,Flooding,495,474,0.039239206713435074,0.009583591585178056,0.17554501061537536,0.997979797979798,0.9929292929292929,0.0749340731319715,0.0,0.00202020202020202
42,student_B,rf_kd,row_weighted,2,Grayhole,2149,1890,0.1988268594441136,0.05906656288286368,0.35650009807708205,0.8334108887854816,0.8129362494183341,0.19410015195976768,0.15495579339227547,0.011633317822242903
42,student_B,rf_kd,row_weighted,3,Normal,51070,49807,0.004682896543550196,0.0011300986251145983,0.0377792502427881,0.9980614842373213,0.985089093401214,0.003531551775996576,0.0016252202858821226,0.00029371450949676914
42,student_B,rf_kd,row_weighted,4,TDMA,997,988,0.00903577406195589,0.0021503086103710376,0.049995079261910845,0.9979939819458375,0.9729187562688064,0.004349790750866584,0.0,0.0020060180541624875
42,student_B,scratch,exact_group_balanced,0,Blackhole,1590,1015,0.2857824740928204,0.05444303376435797,0.4106730484358759,0.9369458128078818,0.6118226600985222,0.20434596082089182,0.05024630541871921,0.012807881773399015
42,student_B,scratch,exact_group_balanced,1,Flooding,495,474,0.5337051153464144,0.03759784122977561,0.3089197688840872,0.9978902953586498,0.9915611814345991,0.0847658714668396,0.0,0.002109704641350211
42,student_B,scratch,exact_group_balanced,2,Grayhole,2149,1890,0.24303725670237905,0.06172565433224804,0.40159500593996633,0.8740740740740741,0.8092592592592592,0.19736312117853178,0.1126984126984127,0.013227513227513227
42,student_B,scratch,exact_group_balanced,3,Normal,51070,49807,0.19202045751939864,0.040018099081143205,0.37336426583198334,0.9968879876322605,0.9023430441504207,0.11680030546598454,0.00281084988053888,0.00030116248720059427
42,student_B,scratch,exact_group_balanced,4,TDMA,997,988,1.3156139139178513,0.04588079736120308,0.2780419851765844,0.9979757085020243,0.770748987854251,0.014854823912073052,0.0,0.0020242914979757085
42,student_B,scratch,row_weighted,0,Blackhole,1590,1015,0.29900188647888293,0.06886215308332617,0.5028906154243217,0.9352201257861635,0.589937106918239,0.28161940549663383,0.055345911949685536,0.009433962264150943
42,student_B,scratch,row_weighted,1,Flooding,495,474,0.5235377991664131,0.036971843672844215,0.3029637031556798,0.997979797979798,0.9919191919191919,0.08176819998568167,0.0,0.00202020202020202
42,student_B,scratch,row_weighted,2,Grayhole,2149,1890,0.2609495628575306,0.0684068718627052,0.43220755204479017,0.8515588645881805,0.7887389483480689,0.22312895246815573,0.13448115402512797,0.013959981386691484
42,student_B,scratch,row_weighted,3,Normal,51070,49807,0.19180384395912967,0.04009022518388854,0.3733274405110443,0.9968278832974349,0.8996181711376542,0.1166372614879149,0.0028784021930683377,0.00029371450949676914
42,student_B,scratch,row_weighted,4,TDMA,997,988,1.308112865332927,0.04579643371898019,0.2777889498629529,0.9979939819458375,0.7688064192577733,0.014724663021406462,0.0,0.0020060180541624875
123,student_A,rf_kd,exact_group_balanced,0,Blackhole,1590,1015,0.16904626970756675,0.04699043534072981,0.3801491417266821,0.8817733990147784,0.9,0.2835000072665136,0.1123152709359606,0.005911330049261084
123,student_A,rf_kd,exact_group_balanced,1,Flooding,495,474,0.04270015797588136,0.010652930770575532,0.1833198558630569,1.0,0.9810126582278481,0.0776678874254265,0.0,0.0
123,student_A,rf_kd,exact_group_balanced,2,Grayhole,2149,1890,0.2056084940067178,0.060379549991404116,0.35905820484880674,0.8275132275132275,0.7904761904761904,0.24294834587908784,0.16137566137566137,0.011111111111111112
123,student_A,rf_kd,exact_group_balanced,3,Normal,51070,49807,0.006089013287827173,0.0014913023446706196,0.04300180425822952,0.9979320175878893,0.9786174634087578,0.0033963398646032527,0.0017266649266167405,0.00032123998634730057
123,student_A,rf_kd,exact_group_balanced,4,TDMA,997,988,0.027348615037654705,0.0070609737432801275,0.09874132181974547,0.9989878542510121,0.8572874493927125,0.00590905470921461,0.0,0.0010121457489878543
123,student_A,rf_kd,row_weighted,0,Blackhole,1590,1015,0.253473760256944,0.07223952358661284,0.521233555743631,0.8742138364779874,0.9323899371069182,0.40909955020561367,0.1220125786163522,0.0037735849056603774
123,student_A,rf_kd,row_weighted,1,Flooding,495,474,0.04198738411016943,0.010483153447264644,0.18185674545862482,1.0,0.9818181818181818,0.07530095102855447,0.0,0.0
123,student_A,rf_kd,row_weighted,2,Grayhole,2149,1890,0.2352344061735295,0.06947660947625084,0.40248088991881315,0.8064215914378781,0.80316426244765,0.28241647990950386,0.1814797580269893,0.01209865053513262
123,student_A,rf_kd,row_weighted,3,Normal,51070,49807,0.006024905811023362,0.0014753442583094669,0.042761990635363435,0.9979244174662228,0.97908752692383,0.0033746538625055067,0.0017427060896808302,0.00031329547679655374
123,student_A,rf_kd,row_weighted,4,TDMA,997,988,0.02741583646775251,0.007091313058033827,0.0988364409134288,0.9989969909729187,0.8555667001003009,0.005857011472671698,0.0,0.0010030090270812437
123,student_A,scratch,exact_group_balanced,0,Blackhole,1590,1015,0.304370525244176,0.06674167811400915,0.4722322433989164,0.9379310344827586,0.765024630541872,0.22831177303730116,0.05123152709359606,0.01083743842364532
123,student_A,scratch,exact_group_balanced,1,Flooding,495,474,0.35542630545773307,0.030849400071194556,0.29850246327498564,1.0,0.9789029535864979,0.08636723806741224,0.0,0.0
123,student_A,scratch,exact_group_balanced,2,Grayhole,2149,1890,0.29930393328842403,0.08513790855275875,0.5498724669155095,0.8248677248677249,0.7801587301587302,0.19840474405389183,0.16296296296296298,0.01216931216931217
123,student_A,scratch,exact_group_balanced,3,Normal,51070,49807,0.18798956309489795,0.04557350869270339,0.41919231325922496,0.9956833376834582,0.889051739715301,0.1074926210463573,0.004035577328487964,0.000281084988053888
123,student_A,scratch,exact_group_balanced,4,TDMA,997,988,1.1708600805326637,0.03613799370300453,0.23127898358246649,0.9979757085020243,0.6649797570850202,0.01477690666550228,0.0,0.0020242914979757085
123,student_A,scratch,row_weighted,0,Blackhole,1590,1015,0.3415415040475765,0.08467672680325265,0.5896137840926852,0.9408805031446541,0.8446540880503145,0.3282370596758973,0.05220125786163522,0.006918238993710692
123,student_A,scratch,row_weighted,1,Flooding,495,474,0.3487015419716472,0.03013301083687076,0.29268352221343946,1.0,0.9797979797979798,0.08357826868219186,0.0,0.0
123,student_A,scratch,row_weighted,2,Grayhole,2149,1890,0.3225175998499853,0.09230792467047387,0.5813740281142583,0.7938576081898557,0.7936249418334109,0.22652211371981942,0.19264774313634248,0.013494648673801768
123,student_A,scratch,row_weighted,3,Normal,51070,49807,0.18778175280165324,0.04563586665920648,0.4190595166726481,0.9956138633248482,0.8864597611121989,0.10731205221981249,0.004112003132954768,0.00027413354219698455
123,student_A,scratch,row_weighted,4,TDMA,997,988,1.164411970905742,0.036154750843665664,0.23167010145189437,0.9979939819458375,0.6639919759277834,0.014663428390222529,0.0,0.0020060180541624875
123,student_B,rf_kd,exact_group_balanced,0,Blackhole,1590,1015,0.15243460585693855,0.04229238999195274,0.3439279749362623,0.8788177339901477,0.912807881773399,0.17474647216536973,0.11133004926108374,0.009852216748768473
123,student_B,rf_kd,exact_group_balanced,1,Flooding,495,474,0.03484087745191586,0.008776894468826658,0.16658611235978965,1.0,0.9778481012658228,0.07459856012616205,0.0,0.0
123,student_B,rf_kd,exact_group_balanced,2,Grayhole,2149,1890,0.14872842109134884,0.04349504829654467,0.28007053347835276,0.908994708994709,0.7962962962962963,0.14797698738820064,0.08095238095238096,0.010052910052910053
123,student_B,rf_kd,exact_group_balanced,3,Normal,51070,49807,0.004759390597209076,0.0011561602325441476,0.03721424406788351,0.9981729475776497,0.9851024956331439,0.003414502683872217,0.0014857349368562651,0.00034131748549400687
123,student_B,rf_kd,exact_group_balanced,4,TDMA,997,988,0.019662434157167175,0.004776089944293648,0.07727352376425797,0.9979757085020243,0.9068825910931174,0.004035281437469767,0.0,0.0020242914979757085
123,student_B,rf_kd,row_weighted,0,Blackhole,1590,1015,0.21754571625916488,0.0619894206251361,0.46258871727374296,0.8779874213836478,0.9421383647798742,0.23806300404706923,0.11572327044025157,0.006289308176100629
123,student_B,rf_kd,row_weighted,1,Flooding,495,474,0.03422177636231531,0.008631850493967048,0.16518072739984227,1.0,0.9787878787878788,0.07227353030091943,0.0,0.0
123,student_B,rf_kd,row_weighted,2,Grayhole,2149,1890,0.1690485580846122,0.04982284010939873,0.3117021769847599,0.8990228013029316,0.808282922289437,0.16837210160398866,0.08980921358771522,0.011167985109353188
123,student_B,rf_kd,row_weighted,3,Normal,51070,49807,0.0047045327967347806,0.0011428068683174582,0.036967032854086666,0.99817897004112,0.9854219698453104,0.003399437089332934,0.0014881535147836303,0.00033287644409633833
123,student_B,rf_kd,row_weighted,4,TDMA,997,988,0.01953827269864375,0.004747198521035457,0.07685688046035294,0.9979939819458375,0.9077231695085256,0.003999057576109194,0.0,0.0020060180541624875
123,student_B,scratch,exact_group_balanced,0,Blackhole,1590,1015,0.30191868090203217,0.06484135917697585,0.46296328562028977,0.8896551724137931,0.7655172413793103,0.22468333254947948,0.09950738916256158,0.01083743842364532
123,student_B,scratch,exact_group_balanced,1,Flooding,495,474,0.37666653243707887,0.03330947898019708,0.29224070792876494,1.0,0.979957805907173,0.0842193215073694,0.0,0.0
123,student_B,scratch,exact_group_balanced,2,Grayhole,2149,1890,0.27393721741390376,0.07409919136046503,0.4852919032829474,0.8846560846560847,0.7857142857142857,0.1978562852899155,0.10317460317460317,0.01216931216931217
123,student_B,scratch,exact_group_balanced,3,Normal,51070,49807,0.16271876154439596,0.037894282285433574,0.37376090379328714,0.9967072901399402,0.8903266609111169,0.09345866646417618,0.0029513923745658243,0.00032123998634730057
123,student_B,scratch,exact_group_balanced,4,TDMA,997,988,1.5740909273975572,0.0365730413733998,0.22532733686805198,0.9979757085020243,0.6639676113360324,0.012777216151539535,0.0,0.0020242914979757085
123,student_B,scratch,row_weighted,0,Blackhole,1590,1015,0.3364426407164834,0.08250268647182506,0.5764541654192591,0.8830188679245283,0.8449685534591195,0.3256721508143977,0.11006289308176101,0.006918238993710692
123,student_B,scratch,row_weighted,1,Flooding,495,474,0.36905383863918967,0.03274558112670739,0.28687221070210034,1.0,0.9808080808080808,0.08149303799412734,0.0,0.0
123,student_B,scratch,row_weighted,2,Grayhole,2149,1890,0.29821415661595724,0.08198668673423684,0.5226506791365012,0.8748255002326664,0.798510935318753,0.22449090345676134,0.11167985109353187,0.013494648673801768
123,student_B,scratch,row_weighted,3,Normal,51070,49807,0.16226423114979713,0.0379157552695851,0.3737333076515549,0.9966124926571372,0.8879674955942823,0.09324291590906045,0.003054630898766399,0.00031329547679655374
123,student_B,scratch,row_weighted,4,TDMA,997,988,1.5650584832132872,0.0365027144789241,0.22511562424133177,0.9979939819458375,0.6629889669007021,0.012663896398869574,0.0,0.0020060180541624875
456,student_A,rf_kd,exact_group_balanced,0,Blackhole,1590,1015,0.10662223094302181,0.028768334933390476,0.3063545677045803,0.8985221674876848,0.8660098522167488,0.29478065409091525,0.08866995073891626,0.012807881773399015
456,student_A,rf_kd,exact_group_balanced,1,Flooding,495,474,0.03771898146645262,0.009138669243778225,0.17978535709068938,1.0,0.9936708860759493,0.07632890605610637,0.0,0.0
456,student_A,rf_kd,exact_group_balanced,2,Grayhole,2149,1890,0.17674747772077715,0.05284362060293816,0.33419719030122513,0.819047619047619,0.8251322751322752,0.269563030686147,0.1724867724867725,0.008465608465608466
456,student_A,rf_kd,exact_group_balanced,3,Normal,51070,49807,0.0042436669512542395,0.0010121934161470161,0.03828636568699666,0.9980123275844761,0.996275623908286,0.0034468522155272022,0.0016664324291766218,0.00032123998634730057
