seed,student,route,weighting,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate,macro_class_hard_agreement_T1,macro_class_kl_T4
2024,student_A,scratch,exact_group_balanced,0.18293743998755982,0.03890606184181492,0.3728715331778122,0.9887030678923469,0.8748846310038025,0.1046152398694378,0.010337062059290435,0.0009598700483626833,0.9517856723800312,0.5781308267094406
2024,student_A,scratch,row_weighted,0.18571831063255131,0.04007232164770264,0.37799561378356755,0.986856361343493,0.8683948775332587,0.1097101928480451,0.012131223246478749,0.001012415410028241,0.948529402654956,0.5860435462481681
2024,student_B,rf_kd,exact_group_balanced,0.012686039780795286,0.0034535756402940643,0.05207059698972373,0.9931332373463285,0.9700317495477535,0.013009920950236746,0.00599918780226677,0.0008675748514047329,0.9596076475963912,0.06405763849614897
2024,student_B,rf_kd,row_weighted,0.016698857386350595,0.004652238556146096,0.05952086531803842,0.9917585833288929,0.9648318857569137,0.01754455248666184,0.007317809630379567,0.0009236070407275182,0.9596831276967718,0.07984915243674935
2024,student_B,scratch,exact_group_balanced,0.16826470099336718,0.03819438294672056,0.3843677419720855,0.9927271384797135,0.8746169749326245,0.1216514766074279,0.006312991471923801,0.0009414110089710931,0.9682784704199163,0.45577399955495307
2024,student_B,scratch,row_weighted,0.17100187471504208,0.03922687954385141,0.38884513996871145,0.9910481163744871,0.8691142253245946,0.12650251093479942,0.007921706541624482,0.001012415410028241,0.9644367459139802,0.4622300044404618
3141,student_A,rf_kd,exact_group_balanced,0.0170243669343624,0.004607233632290668,0.06198704756190722,0.9903274633588068,0.9648170709196293,0.015131009433870123,0.00882342082918005,0.0007937386938383726,0.946630943262201,0.08824986785491776
3141,student_A,rf_kd,row_weighted,0.02199812945967977,0.006082766488690785,0.07071803353856622,0.9884726736647662,0.9655956377328999,0.021261244803479528,0.010710289337667182,0.000763751975986217,0.9438070468535715,0.107088634982766
3141,student_A,scratch,exact_group_balanced,0.1602849537871507,0.04117441989522242,0.40812780916446445,0.9884446413408646,0.8760660095248644,0.11705796634032048,0.010521652453206335,0.0009967881271458633,0.9479138448641156,0.3494134434949584
3141,student_A,scratch,row_weighted,0.16439132180598062,0.04250606867314324,0.41404860925307263,0.9858972309550452,0.8752775261540647,0.12340084142945593,0.012983783591765687,0.0010834621054688193,0.9414456635513412,0.36228786710052735
3141,student_B,rf_kd,exact_group_balanced,0.013277988843811095,0.0035317909923711123,0.05542344510081659,0.9946284195370473,0.9675490087495847,0.011333461393312384,0.004504005611547975,0.0008306567726215528,0.9697483086795817,0.06659704566989766
3141,student_B,rf_kd,row_weighted,0.016846052926542218,0.004602435699356816,0.06224023820498888,0.9937834141489494,0.9682510079749915,0.014817705159686244,0.0053107404841832295,0.0008703220191470844,0.970453440004355,0.07911471725453245
3141,student_B,scratch,exact_group_balanced,0.19237641326009514,0.03993379509580467,0.3781716723468609,0.9919703178646583,0.879277882379001,0.11321727575912517,0.007069812086978993,0.000922951969579503,0.9657178833670489,0.5136750257899884
