seed,student,route,macro_f1,accuracy,macro_precision,macro_recall,per_class_f1,params,kd_minus_scratch
456,B,E_KD_from_RF,0.802784387525466,0.9538763760961095,0.8041177491284451,0.8316301613255448,"[0.9705756929637527, 0.5845620121422377, 0.9952824826645448, 0.9638155627541526, 0.9991218441273326, 0.5701559020044543, 0.9618320610687023, 0.9950460424211071, 0.4869576879232884, 0.9221298861188058, 0.9334787350054525, 0.7534883720930232, 0.5440788719477244, 0.8794177339211982, 0.48182292572621327]",5199.0,-0.007485369530274455
789,RF,A_RF_200,0.944058428275641,0.984544741852391,,,,,
789,A,D_Small_MLP,0.7410343168326153,0.9041810317429088,0.6877192711846594,0.8620279987358549,"[0.6751396110148277, 0.6103310912296741, 0.9941390690793217, 0.9648615130219099, 0.9992866158151786, 0.5533769063180828, 0.782608695652174, 0.9586071896187401, 0.42263313609467457, 0.9225558121632025, 0.8600810221252727, 0.7819650067294751, 0.3327186643408921, 0.8740328491923443, 0.38317757009345793]",2095.0,
789,A,E_KD_from_RF,0.7716937860809545,0.9449773437902008,0.780459079595236,0.7896985701489582,"[0.94453158420077, 0.5543478260869565, 0.9954825695371765, 0.9618110507121723, 0.99950619993416, 0.5938242280285035, 0.9692307692307692, 0.9930286247640759, 0.41261128589597695, 0.9217043531764344, 0.9068454481298518, 0.6104175634954799, 0.4814634146341463, 0.8518467664424001, 0.3787551069454458]",2095.0,0.030659469248339177
789,B,D_Small_MLP,0.8063819835450545,0.9390416287045249,0.7798439634401844,0.8828531888905904,"[0.980274792545232, 0.6619063216508353, 0.9944251663917174, 0.964932828108853, 0.9996708721887, 0.5657015590200446, 0.863013698630137, 0.9812063158963598, 0.5168699367933767, 0.922271817762044, 0.9948682860075265, 0.7911203128594433, 0.3828748168647241, 0.9347182959700217, 0.5418747324868027]",5199.0,
789,B,E_KD_from_RF,0.8119222235541751,0.9554079782548816,0.8060257451725688,0.8394260022281586,"[0.9704807421984819, 0.6382864071130271, 0.9971634424462472, 0.9653605123614076, 0.9995610906896363, 0.7236467236467237, 0.863013698630137, 0.9942708096511642, 0.4331159535549547, 0.9231243259898321, 0.9447852760736196, 0.7619785458879619, 0.560580204778157, 0.8886240975678138, 0.5148415227234614]",5199.0,0.005540240009120567
1001,RF,A_RF_200,0.9448016412017217,0.9847203009931199,,,,,
1001,A,D_Small_MLP,0.7566135396974482,0.9207653167783082,0.71277859596531,0.8582653829001783,"[0.8980162767039674, 0.6081785380195109, 0.9936534137803456, 0.961944885696526, 0.999259198287925, 0.5369978858350951, 0.7974683544303798, 0.9722723375942063, 0.4828728449898366, 0.9184549356223176, 0.7597145122918318, 0.7611141189917584, 0.34821340195981393, 0.8813194693438509, 0.4297229219143577]",2095.0,
1001,A,E_KD_from_RF,0.7768880609925686,0.9504438922066876,0.7808228433902124,0.800831230578618,"[0.9439093484419263, 0.6070168430863457, 0.9965941987852642, 0.9572273414936048, 0.9990945756852416, 0.6685082872928176, 0.7730061349693251, 0.9913004408518602, 0.4051674483666584, 0.9156439335093988, 0.9257925072046109, 0.7328925806633892, 0.5116547426725133, 0.8818103391067755, 0.34370219275879654]",2095.0,0.020274521295120418
1001,B,D_Small_MLP,0.8017643641447443,0.9353246179318527,0.7744136386577816,0.8782004821718032,"[0.9541014318212231, 0.6650432553668696, 0.9946539270886652, 0.9651515151515152, 0.9996708721887, 0.5707865168539326, 0.8811188811188811, 0.9790559934200206, 0.49875666074600356, 0.9226978749615029, 0.9671621154510889, 0.7858049624927871, 0.35668255880966104, 0.9314545334825838, 0.5543243632177292]",5199.0,
1001,B,E_KD_from_RF,0.8172463468000513,0.9585862040784204,0.8123740965793398,0.8517675593038075,"[0.9658083579569439, 0.6419513547224724, 0.9968219737812837, 0.9657308009909166, 0.9995610906896363, 0.6958904109589041, 0.8571428571428571, 0.9959772340015859, 0.501906577693041, 0.9236228977009721, 0.9298118668596237, 0.7851267605633803, 0.5812135227397863, 0.8874237216805779, 0.5307057745187901]",5199.0,0.01548198265530698
