view,seed,category,student,route,accuracy_minus_row_level,macro_f1_minus_row_level
inverse_test_group_size,123,student,student_B,E_KD_from_RF,0.0017353818301231172,0.00047220139842918396
pure_group_representative,123,student,student_B,E_KD_from_RF,0.0017353818301231172,0.00047220139842907294
inverse_test_group_size,123,student,student_B,E2_KD_from_MLP,0.002059846635175555,0.00034775137264186906
pure_group_representative,123,student,student_B,E2_KD_from_MLP,0.002059846635175555,0.00034775137264186906
inverse_test_group_size,123,student,student_B,F_KD_from_CL_MLP_fair,0.0020365060370639565,8.708937447954312e-05
pure_group_representative,123,student,student_B,F_KD_from_CL_MLP_fair,0.0020365060370639565,8.708937447932108e-05
inverse_test_group_size,123,student,student_B,F_KD_from_CL_MLP_ext,0.0021301959650846802,0.00032149749526821925
pure_group_representative,123,student,student_B,F_KD_from_CL_MLP_ext,0.0021301959650846802,0.0003214974952679972
inverse_test_group_size,123,student,student_B,G_KD_random_pacing,0.002013165438952247,-0.0005782848982907041
pure_group_representative,123,student,student_B,G_KD_random_pacing,0.002013165438952247,-0.0005782848982907041
inverse_test_group_size,123,student,student_B,I_KD_from_SMOTE_MLP,0.001839077822391455,-0.00010279978424299063
pure_group_representative,123,student,student_B,I_KD_from_SMOTE_MLP,0.001839077822391455,-0.00010279978424310166
inverse_test_group_size,123,student,student_B,J_CoDistill_RF_CL,0.0019408086012155934,0.0007641315083140032
pure_group_representative,123,student,student_B,J_CoDistill_RF_CL,0.0019408086012155934,0.0007641315083140032
inverse_test_group_size,456,teacher,,A_RF_500_uncalibrated,3.572400014406618e-05,-0.001094849532112474
pure_group_representative,456,teacher,,A_RF_500_uncalibrated,3.572400014406618e-05,-0.001094849532112474
inverse_test_group_size,456,teacher,,A_calibrated_RF_KD_teacher,-1.058736612202793e-05,-0.0011691146230659033
pure_group_representative,456,teacher,,A_calibrated_RF_KD_teacher,-1.058736612202793e-05,-0.0011691146230659033
inverse_test_group_size,456,teacher,,B_Full_MLP,0.0018843219931685695,-0.00014121919299336927
pure_group_representative,456,teacher,,B_Full_MLP,0.0018843219931685695,-0.00014121919299359131
inverse_test_group_size,456,teacher,,C_CL_MLP_loss_fair,0.0022227764032332065,-0.00021287153555216154
pure_group_representative,456,teacher,,C_CL_MLP_loss_fair,0.0022227764032332065,-0.00021287153555238358
inverse_test_group_size,456,teacher,,C_CL_MLP_loss_ext,0.0017418587723297962,-0.0016899862348195294
pure_group_representative,456,teacher,,C_CL_MLP_loss_ext,0.0017418587723297962,-0.0016899862348196404
inverse_test_group_size,456,teacher,,C2_CL_MLP_domain,0.002294192928631311,0.0006191230607774934
pure_group_representative,456,teacher,,C2_CL_MLP_domain,0.002294192928631311,0.0006191230607770493
inverse_test_group_size,456,teacher,,G_random_pacing_teacher,0.0017592929106160504,-0.0010921443450847557
pure_group_representative,456,teacher,,G_random_pacing_teacher,0.0017592929106160504,-0.0010921443450850887
inverse_test_group_size,456,teacher,,I_SMOTE_MLP_teacher,0.00040678541265304347,-0.00208508440486066
