view,seed,category,student,route,class_id,class_name,precision,recall,f1,support
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,4,TDMA,0.9548717948717949,0.9423076923076923,0.9485481406011207,988.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,0,Blackhole,0.7511811023622047,0.9399014778325123,0.8350109409190372,1015.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,1,Flooding,0.8805970149253731,0.9957805907172996,0.9346534653465347,474.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,2,Grayhole,0.9067357512953368,0.8333333333333334,0.8684863523573201,1890.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,3,Normal,0.9988319639117126,0.9958038026783383,0.9973155846897841,49807.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_ext,4,TDMA,0.9548717948717949,0.9423076923076923,0.9485481406011207,988.0
row_level,42,teacher,,C2_CL_MLP_domain,0,Blackhole,0.7813504823151125,0.9169811320754717,0.84375,1590.0
row_level,42,teacher,,C2_CL_MLP_domain,1,Flooding,0.8898916967509025,0.9959595959595959,0.9399428026692088,495.0
row_level,42,teacher,,C2_CL_MLP_domain,2,Grayhole,0.8784056508577195,0.8101442531409958,0.8428951827644638,2149.0
row_level,42,teacher,,C2_CL_MLP_domain,3,Normal,0.9988606227286121,0.9956334442921481,0.9972444226526109,51070.0
row_level,42,teacher,,C2_CL_MLP_domain,4,TDMA,0.9456740442655935,0.9428284854563691,0.9442491210447012,997.0
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,0,Blackhole,0.7430830039525704,0.9261083743842364,0.8245614035087727,1014.9999999999998
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,1,Flooding,0.8855534709193246,0.9957805907172996,0.9374379344587885,474.0
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,2,Grayhole,0.8968481375358163,0.828042328042328,0.8610729023383769,1890.0000000000002
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,3,Normal,0.9988317757009346,0.9956431826851647,0.9972349303705194,49807.00000000006
inverse_test_group_size,42,teacher,,C2_CL_MLP_domain,4,TDMA,0.9471007121057986,0.9423076923076923,0.9446981227803145,988.0
pure_group_representative,42,teacher,,C2_CL_MLP_domain,0,Blackhole,0.7430830039525692,0.9261083743842364,0.8245614035087719,1015.0
pure_group_representative,42,teacher,,C2_CL_MLP_domain,1,Flooding,0.8855534709193246,0.9957805907172996,0.9374379344587885,474.0
pure_group_representative,42,teacher,,C2_CL_MLP_domain,2,Grayhole,0.8968481375358166,0.828042328042328,0.8610729023383769,1890.0
pure_group_representative,42,teacher,,C2_CL_MLP_domain,3,Normal,0.9988317757009346,0.9956431826851647,0.9972349303705194,49807.0
pure_group_representative,42,teacher,,C2_CL_MLP_domain,4,TDMA,0.9471007121057986,0.9423076923076923,0.9446981227803145,988.0
row_level,42,teacher,,G_random_pacing_teacher,0,Blackhole,0.785639958376691,0.949685534591195,0.8599088838268792,1590.0
row_level,42,teacher,,G_random_pacing_teacher,1,Flooding,0.8725663716814159,0.9959595959595959,0.930188679245283,495.0
row_level,42,teacher,,G_random_pacing_teacher,2,Grayhole,0.9132492113564669,0.808282922289437,0.8575660330782523,2149.0
row_level,42,teacher,,G_random_pacing_teacher,3,Normal,0.9988414107297149,0.9959859017035442,0.9974116124477911,51070.0
