view,family,seed,left_route,right_route,left_macro_f1,right_macro_f1,macro_f1_delta,class_0_Blackhole_f1_delta,class_1_Flooding_f1_delta,class_2_Grayhole_f1_delta,class_3_Normal_f1_delta,class_4_TDMA_f1_delta
row_level,student_B,5678,J_CoDistill_RF_CL,E_KD_from_RF,0.9278603596062996,0.9253725865130029,0.00248777309329673,0.012631926992839326,-0.0008986052480004503,0.008763863872810473,-0.00023576171318195893,-0.007822558437982186
row_level,student_B,8192,J_CoDistill_RF_CL,E_KD_from_RF,0.9303748644143696,0.9305203292267302,-0.00014546481236066278,0.005800420764313419,-0.0008986052480004503,0.0010705688021240833,-0.0003536228717575529,-0.006346085508483146
row_level,student_B,9999,J_CoDistill_RF_CL,E_KD_from_RF,0.9194025926859227,0.9186284143799993,0.000774178305923412,0.008916302761939221,-0.0008986052480004503,0.0016218221775085029,-0.0003439415448052152,-0.0054246866170248875
row_level,student_B,42,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9238105329292277,0.9179290773489953,0.005881455580232342,-0.0010797022240022214,0.0017920756088695144,0.01317443343269642,0.0005700308371832108,0.014950440246415009
row_level,student_B,123,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9285369505911362,0.9196949027673499,0.008842047823786281,0.007920361809288567,0.0017920756088695144,0.023151040056805128,0.0003441028672080959,0.011002658776759322
row_level,student_B,456,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9316156272368339,0.9257195687462711,0.005896058490562739,0.000818329701740339,0.006242538258384278,0.00984047785110076,0.0005505528470638454,0.012028393794524583
row_level,student_B,789,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9202382108790002,0.9255829292054372,-0.005344718326437015,-0.026515260291243847,0.0008968919872797132,-0.011986379178781092,0.0003833838761425623,0.01049777197441737
row_level,student_B,1001,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9227501663799978,0.9274360635583548,-0.00468589717835699,-0.01799390102517362,0.0,-0.015895083491829887,0.0003933588759629236,0.010066139749255743
row_level,student_B,2024,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9249537317555967,0.9167920825047045,0.008161649250892244,0.00991627320087718,0.0008968919872797132,0.015205641326556885,0.0004423304763356839,0.014347109263411872
row_level,student_B,3141,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9462094728700835,0.9234425127512205,0.022766960118863033,0.038821172496098066,0.006242538258384278,0.051903924285707226,0.0007078084534962725,0.016159357100629324
