view,category,student,route,class_id,class_name,f1_mean,f1_sample_sd,f1_values_json
inverse_test_group_size,student,student_A,G_KD_random_pacing,2,Grayhole,0.8697582909090048,0.005573214625479069,"[0.8768802228412255,0.8666114333057164,0.8630175048624616,0.8683035714285715,0.8798920377867747,0.8738292011019284,0.87010078387458,0.8679245283018867,0.8680175246440306,0.8630061009428726]"
inverse_test_group_size,student,student_A,G_KD_random_pacing,3,Normal,0.9973216570475589,9.590263052960062e-05,"[0.9973256655674415,0.9974063052919414,0.9973761724286992,0.9973156386668678,0.9973155846897841,0.9971442361837343,0.9972651772607533,0.9972248476682688,0.9973559601483879,0.9974869825697111]"
inverse_test_group_size,student,student_A,G_KD_random_pacing,4,TDMA,0.9425465569291894,0.003724038586151407,"[0.9452332657200812,0.9451776649746193,0.9428426909458776,0.9395161290322581,0.9471544715447154,0.935678391959799,0.9385699899295066,0.9418310571573091,0.9428426909458776,0.9466192170818505]"
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,0,Blackhole,0.8269934679314501,0.015039337863146358,"[0.8334817453250231,0.8358344702137345,0.8269313767803201,0.8497932935231979,0.8247706422018362,0.8445975032285846,0.817511520737328,0.8219298245614043,0.8177509694097382,0.7973333333333339]"
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,1,Flooding,0.9381841515046421,0.0009609781005927338,"[0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9355797819623389,0.9383697813121272,0.9383697813121272,0.9393034825870646,0.9383697813121272]"
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,2,Grayhole,0.8702954900640794,0.011733070861956359,"[0.8763056624518968,0.8799783256570034,0.8633696563285835,0.8911693221712124,0.8745288099084544,0.8738461538461538,0.8708031157668545,0.8649098474341189,0.8582633053221294,0.8497807017543862]"
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,3,Normal,0.9972027274169667,0.00017739448583476187,"[0.997416488233461,0.9972249034749034,0.9971744879387839,0.9970838444985218,0.9973659870511119,0.9971644042232277,0.9970636149715412,0.9973863042341872,0.997305557789753,0.9968416817541742]"
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,4,TDMA,0.9334607637725911,0.006892545624061854,"[0.93891973750631,0.9328657314629258,0.9343358395989975,0.9246031746031746,0.9404040404040404,0.9362129583124058,0.9277528649725959,0.9409389197375063,0.937625754527163,0.9209486166007905]"
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,0,Blackhole,0.8234427019570733,0.016331651928853882,"[0.8209219858156033,0.8269484808454435,0.8148812191842227,0.8087233075874611,0.8286888990406585,0.8281818181818191,0.8163265306122455,0.8637236084452985,0.8217126813289664,0.8043184885290157]"
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,1,Flooding,0.9386498916946084,0.0004510205647838496,"[0.9383697813121272,0.9393034825870646,0.9383697813121272,0.9393034825870646,0.9393034825870646,0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9383697813121272]"
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,2,Grayhole,0.874595798905623,0.01318184514512957,"[0.8675496688741724,0.8723936613844868,0.8677481440747871,0.8642311886586695,0.8791089377886445,0.8792586535840827,0.8668696374204262,0.9072655217965649,0.8796147672552166,0.8619178082191781]"
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,3,Normal,0.9977984189499407,6.175862243583665e-05,"[0.9977087269365277,0.9978598342125095,0.9977793185220912,0.9976989318622574,0.9977994594105767,0.9978396519327579,0.9978699461458083,0.9978094855305466,0.9978597481938485,0.9977590867524846]"
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,4,TDMA,0.9548180779426227,0.001629137196335484,"[0.9539406345957011,0.9548717948717949,0.9534526854219949,0.9534526854219949,0.9549180327868853,0.9549180327868853,0.9573703133025167,0.9544290834613415,0.9578622816032888,0.9529652351738241]"
inverse_test_group_size,student,student_B,D_Small_MLP,0,Blackhole,0.8789107873024703,0.01610255856001389,"[0.8742623694961426,0.8555347091932465,0.8826815642458108,0.8682795698924742,0.8741965105601481,0.9028243178554337,0.8852607709750577,0.8681961313540272,0.9074848907484907,0.8703870387038715]"
inverse_test_group_size,student,student_B,D_Small_MLP,1,Flooding,0.9309755357736368,0.0030644396032261964,"[0.928220255653884,0.9273084479371316,0.9309664694280079,0.9318854886475815,0.9273084479371316,0.9346534653465347,0.932806324110672,0.9300492610837439,0.9300492610837439,0.9365079365079365]"
inverse_test_group_size,student,student_B,D_Small_MLP,2,Grayhole,0.9086434953552998,0.010671302145929616,"[0.9054347826086953,0.8980026631158453,0.9146537842190016,0.8981937602627258,0.9060475161987043,0.9251772118666314,0.9111171513998365,0.8994535519125683,0.9269076305220884,0.9014469014469015]"
inverse_test_group_size,student,student_B,D_Small_MLP,3,Normal,0.997411397215371,7.256206848413842e-05,"[0.9974869320466425,0.9974063052919414,0.9975777190355101,0.9974065138721351,0.997366040012064,0.9973559601483879,0.9974063574401351,0.9973357998130034,0.9974163843455008,0.9973559601483879]"
inverse_test_group_size,student,student_B,D_Small_MLP,4,TDMA,0.9439442401994343,0.0030675721302553063,"[0.9471544715447154,0.945712836123795,0.9476359938993391,0.94667343829355,0.942366026289181,0.9446981227803145,0.942366026289181,0.9399899142713061,0.9442755825734549,0.9385699899295066]"
inverse_test_group_size,student,student_B,E2_KD_from_MLP,0,Blackhole,0.8476715183686594,0.007993344470269883,"[0.8396268325188813,0.8427115640230403,0.8543516873889885,0.853227232537578,0.8601177003168867,0.8372505543237259,0.8514588859416455,0.8485964104924081,0.8371467025572016,0.8522276135862381]"
inverse_test_group_size,student,student_B,E2_KD_from_MLP,1,Flooding,0.9363259825794922,0.0019926398148453804,"[0.9365079365079365,0.9365079365079365,0.932806324110672,0.9374379344587885,0.9383697813121272,0.9374379344587885,0.932806324110672,0.9365079365079365,0.9365079365079365,0.9383697813121272]"
inverse_test_group_size,student,student_B,E2_KD_from_MLP,2,Grayhole,0.8834320614954414,0.005681373709788044,"[0.876577070762479,0.8797799174690504,0.8857221156481228,0.8873550524572058,0.8921409214092141,0.8763056624518962,0.8821752265861027,0.8895458210158558,0.8777959629023457,0.8869228642521425]"
inverse_test_group_size,student,student_B,E2_KD_from_MLP,3,Normal,0.99738413160916,0.00010222766394619346,"[0.9973861991314139,0.9974163843455008,0.9973055036094187,0.9974769051376645,0.997396226035729,0.9973659870511119,0.9971744311154461,0.9973760669153203,0.9973760669153203,0.9975675458346736]"
inverse_test_group_size,student,student_B,E2_KD_from_MLP,4,TDMA,0.9431040488836429,0.0020813880687500265,"[0.945712836123795,0.9437974683544303,0.9437404967055246,0.9433198380566802,0.9452332657200812,0.9404040404040404,0.9395161290322581,0.9418310571573091,0.9423076923076923,0.9451776649746193]"
inverse_test_group_size,student,student_B,E_KD_from_RF,0,Blackhole,0.8574891727773641,0.02987691594772648,"[0.8293345405160717,0.8690188496858391,0.8871892925430217,0.8201372997711677,0.8783325254483766,0.876254180602007,0.9048991354466868,0.8345521023766005,0.8530499075785593,0.8221238938053106]"
inverse_test_group_size,student,student_B,E_KD_from_RF,1,Flooding,0.9391167423320772,0.00039368302440070957,"[0.9393034825870646,0.9393034825870646,0.9393034825870646,0.9383697813121272,0.9393034825870646,0.9393034825870646,0.9383697813121272,0.9393034825870646,0.9393034825870646,0.9393034825870646]"
inverse_test_group_size,student,student_B,E_KD_from_RF,2,Grayhole,0.9024352467516558,0.02135823575964482,"[0.8794949217677736,0.9124106906589041,0.9205756929637524,0.8808347062053816,0.9191759112519807,0.9168443496801707,0.9349680170575692,0.8864628820960699,0.9008174386920983,0.8727678571428569]"
inverse_test_group_size,student,student_B,E_KD_from_RF,3,Normal,0.9981066949036572,8.68529015796108e-05,"[0.9979909593169262,0.9980413230611609,0.9980011852268504,0.9982526611769431,0.9980713984370292,0.99808150104965,0.9982123847590737,0.9981216413038019,0.9981721402028724,0.9981217545022649]"
inverse_test_group_size,student,student_B,E_KD_from_RF,4,TDMA,0.9617184812721122,0.0012339962396121487,"[0.9603297269448737,0.9618163054695562,0.9608247422680413,0.9633074935400516,0.9608247422680413,0.9603297269448737,0.9638055842812823,0.9628099173553719,0.9613202681794739,0.9618163054695562]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,0,Blackhole,0.8469416744501098,0.011009267707532966,"[0.8482142857142866,0.8367978770455561,0.8449053201082064,0.8505747126436793,0.8717480602464641,0.8325231992929747,0.8505041648399835,0.8510067114093968,0.8361478776814251,0.8469945355191268]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,1,Flooding,0.9340136233913556,0.002784563501815632,"[0.9365079365079365,0.9374379344587885,0.932806324110672,0.9365079365079365,0.933728981206726,0.928220255653884,0.9346534653465347,0.9309664694280079,0.9346534653465347,0.9346534653465347]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,2,Grayhole,0.8829236425822709,0.007664787003768303,"[0.8815502183406112,0.8774834437086092,0.8814111261872455,0.8816259269431476,0.9014312719416692,0.8717666483214087,0.8809063277148383,0.8860344356381525,0.881081081081081,0.8859459459459456]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,3,Normal,0.9973518773406352,9.387159128119424e-05,"[0.9973357462423968,0.9975373666911255,0.9972954223263389,0.9972550951667555,0.9974163843455008,0.9972046816554719,0.9973559069842259,0.9974063052919414,0.9973156386668678,0.997396226035729]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,4,TDMA,0.9438661122610755,0.002906343212719263,"[0.9446981227803145,0.94667343829355,0.9452332657200812,0.9404040404040404,0.9461928934010152,0.9394550958627649,0.945712836123795,0.9461382113821138,0.9394550958627649,0.9446981227803145]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,0,Blackhole,0.8421661466924772,0.013804481145257756,"[0.8242784380305611,0.8399646330680824,0.8483221476510078,0.8282476024411517,0.8660351826792977,0.8451075032909179,0.8482944344703776,0.8270469181232759,0.8356979405034335,0.8586666666666675]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,1,Flooding,0.9362326206718077,0.001859326707809702,"[0.9374379344587885,0.9365079365079365,0.9355797819623389,0.9355797819623389,0.9355797819623389,0.9346534653465347,0.9365079365079365,0.932806324110672,0.9383697813121272,0.9393034825870646]"
