view,category,student,route,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd
inverse_test_group_size,student,student_B,E_KD_from_RF,0.9908572377893454,0.0013368346778216678,0.9214829357583751,0.010994828749228578,0.9448531311608201,0.008211352559102394,0.9317732676073733,0.010205966679572333
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_ext,0.9888175139365748,0.0005558728913000106,0.902385152789676,0.004547064570940137,0.9443805772748316,0.003586846291803127,0.9210193860050895,0.004115576078744664
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,0.9885461660575185,0.0006418185551574361,0.9010209959786414,0.004739208810720435,0.9430828459125493,0.0044976416770847695,0.9194704307828749,0.004908449571929155
inverse_test_group_size,student,student_B,G_KD_random_pacing,0.9888452024956621,0.0005713396568910485,0.9026256526254224,0.004400981351151116,0.9435392921563961,0.004007701171139161,0.921005483241221,0.004161055434997981
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,0.9886033890796323,0.000682024800156922,0.9010880662218836,0.005336062398698911,0.9415689996404701,0.004140779107659793,0.9196744831175149,0.004508448134092466
inverse_test_group_size,student,student_B,J_CoDistill_RF_CL,0.9899564366670358,0.0009913208802926235,0.9131392810925787,0.008292754329795766,0.9440038618437754,0.005703039858606173,0.9267960925544367,0.00743733037449617
inverse_test_group_size,teacher,,A_RF_500_uncalibrated,0.9968231993207073,5.180968591334019e-05,0.9761796363483027,0.00043703582384678626,0.9817959100638237,0.0004176079088614359,0.9785277702775106,0.0003608835801819042
inverse_test_group_size,teacher,,A_calibrated_RF_KD_teacher,0.9967825894340459,5.709386155552915e-05,0.9772711947957695,0.000675157497953653,0.980382653273318,0.00055681415525619,0.9784388654802287,0.000430126839126126
inverse_test_group_size,teacher,,B_Full_MLP,0.9888876582862627,0.0003104681412126893,0.9030549063549064,0.0023223109231634608,0.9452345041370546,0.0011730941524843732,0.9213879731467566,0.002011027686211052
inverse_test_group_size,teacher,,C2_CL_MLP_domain,0.9879517849891091,0.0003623544904427388,0.8965223866791165,0.0024542234566896992,0.9382207789614009,0.0014408615650179182,0.9148010179365551,0.0022945191630009735
inverse_test_group_size,teacher,,C_CL_MLP_loss_ext,0.9884501790526821,0.000395715769074791,0.9001253059779406,0.002941123911006199,0.9436751357215586,0.0029807728466904673,0.9184577082199834,0.0028089246297680038
inverse_test_group_size,teacher,,C_CL_MLP_loss_fair,0.9878465684645772,0.00045450738270917456,0.8960082451549463,0.0031526222840844143,0.9400359912288069,0.0019733827120952977,0.9143067310046107,0.0031496588216759444
inverse_test_group_size,teacher,,G_random_pacing_teacher,0.9886163104072064,0.0005769446511891319,0.9010123138616134,0.004657183087575598,0.9446517888142697,0.002155981430122639,0.9195676780048195,0.0038313885860601525
inverse_test_group_size,teacher,,I_SMOTE_MLP_teacher,0.992374570827334,0.0012311393594522193,0.9319860150953698,0.01037376459367422,0.9698334505806565,0.008582848623940072,0.9499130224782899,0.009568990594841757
pure_group_representative,student,student_A,D_Small_MLP,0.9866614981356369,0.002002826094895535,0.8900582728287436,0.009381053813042177,0.9433816633874113,0.0028203665817928525,0.9140919107997905,0.0054545616897982594
pure_group_representative,student,student_A,E2_KD_from_MLP,0.9879074832945693,0.0003485506793115175,0.8958544980367567,0.0026076655147476016,0.9383411921126438,0.0018206963528046636,0.9144081408230574,0.002340273391046428
pure_group_representative,student,student_A,E_KD_from_RF,0.9885406283457009,0.000341012400078465,0.904042750869602,0.002687514045032137,0.9313566350162509,0.0025638208188266836,0.915300945388363,0.002226770297403706
pure_group_representative,student,student_A,F_KD_from_CL_MLP_ext,0.9876712075903569,0.0003530832479424652,0.8944860720355713,0.002643069067930458,0.9374439557310096,0.0028002528493163014,0.9128257219501821,0.0026503313237928256
pure_group_representative,student,student_A,F_KD_from_CL_MLP_fair,0.9879167128142651,0.00033364993832846467,0.896393972488964,0.002471969170310147,0.9398137362340696,0.003106078352727256,0.9149587922665663,0.0024015931329192408
pure_group_representative,student,student_A,G_KD_random_pacing,0.9880053162033449,0.0003553651412865012,0.8968228013835666,0.002863348399615675,0.9400541185176963,0.003459136442956132,0.9154041694882358,0.0029207271917762886
pure_group_representative,student,student_A,I_KD_from_SMOTE_MLP,0.9876841289179312,0.000813446022085804,0.8939036919554226,0.006217956815443329,0.9376971310835962,0.005167337586274108,0.9132273201379457,0.005530510489633404
pure_group_representative,student,student_A,J_CoDistill_RF_CL,0.9887584450105218,0.0008182350800447373,0.9040151080989414,0.006512536899334117,0.9356507817057654,0.004670374105944101,0.9178609778899736,0.005908093112904317
